2021-06-27 22:06:972 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-28 22:06:34 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d5d0c125624f6dc4f19d2f647aa2a22d)] -> link text: Log in]
2021-06-28 22:06:857 INFO  LoginPage :38 - Entering email address : abcd123@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (d5d0c125624f6dc4f19d2f647aa2a22d)] -> id: Email]
2021-06-28 22:06:649 INFO  LoginPage :44 - Entering password : xyz123 to password field : [[ChromeDriver: chrome on WINDOWS (d5d0c125624f6dc4f19d2f647aa2a22d)] -> id: Password]
2021-06-28 22:06:896 INFO  LoginPage :50 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (d5d0c125624f6dc4f19d2f647aa2a22d)] -> xpath: //button[@class='button-1 login-button']]
2021-06-28 22:06:495 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-28 22:06:110 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (8552b106ad1db03e106b3b2ab9dc3966)] -> link text: Log in]
2021-06-28 22:06:895 INFO  LoginPage :38 - Entering email address : xyz123@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (8552b106ad1db03e106b3b2ab9dc3966)] -> id: Email]
2021-06-28 22:06:687 INFO  LoginPage :44 - Entering password : abc123 to password field : [[ChromeDriver: chrome on WINDOWS (8552b106ad1db03e106b3b2ab9dc3966)] -> id: Password]
2021-06-28 22:06:891 INFO  LoginPage :50 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (8552b106ad1db03e106b3b2ab9dc3966)] -> xpath: //button[@class='button-1 login-button']]
2021-06-28 22:06:421 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-28 22:06:809 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (4d2a885cd8092028a9f87aa17a0be2b5)] -> link text: Log in]
2021-06-28 22:06:603 INFO  LoginPage :38 - Entering email address : adcs124@gmail.com to email field : [[ChromeDriver: chrome on WINDOWS (4d2a885cd8092028a9f87aa17a0be2b5)] -> id: Email]
2021-06-28 22:06:310 INFO  LoginPage :44 - Entering password : adc123 to password field : [[ChromeDriver: chrome on WINDOWS (4d2a885cd8092028a9f87aa17a0be2b5)] -> id: Password]
2021-06-28 22:06:980 INFO  LoginPage :50 - Clicking on login button : [[ChromeDriver: chrome on WINDOWS (4d2a885cd8092028a9f87aa17a0be2b5)] -> xpath: //button[@class='button-1 login-button']]
2021-06-28 22:06:542 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-28 22:06:106 INFO  HomePage :54 - Clicking on computer link : [[ChromeDriver: chrome on WINDOWS (41e19282d2e9b359018612a89e2b2688)] -> link text: Computers]
2021-06-28 22:06:93 INFO  ComputerPage :34 - Click on deskTop  link : [[ChromeDriver: chrome on WINDOWS (41e19282d2e9b359018612a89e2b2688)] -> link text: Desktops]
2021-06-28 22:06:185 INFO  ComputerPage :50 - verify deskTop text : [[ChromeDriver: chrome on WINDOWS (41e19282d2e9b359018612a89e2b2688)] -> xpath: //h1[contains(text(),'Desktops')]]
2021-06-28 22:06:160 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-28 22:06:958 INFO  HomePage :54 - Clicking on computer link : [[ChromeDriver: chrome on WINDOWS (e7c6c9026e1d369c428e2ed56635ff49)] -> link text: Computers]
2021-06-28 22:06:960 INFO  ComputerPage :39 - Click on noteBook  link : [[ChromeDriver: chrome on WINDOWS (e7c6c9026e1d369c428e2ed56635ff49)] -> xpath: //ul[@class='top-menu notmobile']/li[1]/ul/li[2]/a]
2021-06-28 22:06:24 INFO  ComputerPage :55 - verify NoteBook : [[ChromeDriver: chrome on WINDOWS (e7c6c9026e1d369c428e2ed56635ff49)] -> xpath: //h1[contains(text(),'Notebooks')]]
2021-06-28 22:06:217 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-28 22:06:677 INFO  HomePage :54 - Clicking on computer link : [[ChromeDriver: chrome on WINDOWS (14f9e5f3611f17c75a76ea0270daf8e5)] -> link text: Computers]
2021-06-28 22:06:19 INFO  ComputerPage :45 - Click on Software  link : [[ChromeDriver: chrome on WINDOWS (14f9e5f3611f17c75a76ea0270daf8e5)] -> xpath: //ul[@class='top-menu notmobile']/li[1]/ul/li[3]/a]
2021-06-28 22:06:82 INFO  ComputerPage :60 - verify software text : [[ChromeDriver: chrome on WINDOWS (14f9e5f3611f17c75a76ea0270daf8e5)] -> xpath: //h1[contains(text(),'Software')]]
2021-06-28 23:06:873 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-28 23:06:248 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-28 23:06:361 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-28 23:06:593 INFO  HomePage :48 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (782ab3c5f1680d563af6cd9a93a01911)] -> xpath: //a[@class='ico-register']]
2021-06-28 23:06:698 INFO  RegisterPage :39 - Getting text from : [[ChromeDriver: chrome on WINDOWS (782ab3c5f1680d563af6cd9a93a01911)] -> xpath: //h1[contains(text(),'Register')]]
2021-06-28 23:06:899 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-28 23:06:139 INFO  HomePage :48 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (46e6dccb981285676483c77ee165289b)] -> xpath: //a[@class='ico-register']]
2021-06-28 23:06:411 INFO  RegisterPage :47 - Click on register button : [[ChromeDriver: chrome on WINDOWS (46e6dccb981285676483c77ee165289b)] -> xpath: //button[@id='register-button']]
2021-06-28 23:06:65 INFO  RegisterPage :58 - Getting text from : Proxy element for: DefaultElementLocator 'By.xpath: //span[@id='FirstName-error']'
2021-06-28 23:06:348 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-28 23:06:922 INFO  HomePage :48 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f6654f3698feb1d8c3fef1570e962327)] -> xpath: //a[@class='ico-register']]
2021-06-28 23:06:745 INFO  RegisterPage :47 - Click on register button : [[ChromeDriver: chrome on WINDOWS (f6654f3698feb1d8c3fef1570e962327)] -> xpath: //button[@id='register-button']]
2021-06-28 23:06:304 INFO  RegisterPage :58 - Getting text from : [[ChromeDriver: chrome on WINDOWS (f6654f3698feb1d8c3fef1570e962327)] -> xpath: //span[@id='FirstName-error']]
2021-06-29 00:06:798 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-29 00:06:563 INFO  HomePage :48 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (86d83f7676dc0cd7d5a1bbc0ded90b3b)] -> xpath: //a[@class='ico-register']]
2021-06-29 00:06:857 INFO  RegisterPage :66 - Entering  confirmed password : [[ChromeDriver: chrome on WINDOWS (86d83f7676dc0cd7d5a1bbc0ded90b3b)] -> xpath: //input[@id='FirstName']] to first name  field : [[ChromeDriver: chrome on WINDOWS (86d83f7676dc0cd7d5a1bbc0ded90b3b)] -> xpath: //input[@id='FirstName']]
2021-06-29 00:06:151 INFO  RegisterPage :73 - Enter  last name password : [[ChromeDriver: chrome on WINDOWS (86d83f7676dc0cd7d5a1bbc0ded90b3b)] -> xpath: //input[@id='LastName']] to Last Name field : [[ChromeDriver: chrome on WINDOWS (86d83f7676dc0cd7d5a1bbc0ded90b3b)] -> xpath: //input[@id='LastName']]
2021-06-29 00:06:490 INFO  LoginPage :38 - Entering email address : kelly.spencer@yahoo.com to email field : [[ChromeDriver: chrome on WINDOWS (86d83f7676dc0cd7d5a1bbc0ded90b3b)] -> id: Email]
2021-06-29 00:06:200 INFO  LoginPage :44 - Entering password : abcd1234 to password field : [[ChromeDriver: chrome on WINDOWS (86d83f7676dc0cd7d5a1bbc0ded90b3b)] -> id: Password]
2021-06-29 00:06:400 INFO  RegisterPage :53 - Entering  confirmed password : abcd1234 to confirmed password field : [[ChromeDriver: chrome on WINDOWS (86d83f7676dc0cd7d5a1bbc0ded90b3b)] -> xpath: //input[@id='ConfirmPassword']]
2021-06-29 00:06:552 INFO  RegisterPage :47 - Click on register button : [[ChromeDriver: chrome on WINDOWS (86d83f7676dc0cd7d5a1bbc0ded90b3b)] -> xpath: //button[@id='register-button']]
2021-06-29 00:06:102 INFO  RegisterPage :79 - Enter  last name password : Proxy element for: DefaultElementLocator 'By.xpath: //div[contains(text(),'Your registration completed')]'
2021-06-29 00:06:604 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-29 00:06:952 INFO  HomePage :48 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e395d9bda3841e9c8926038d8bd031c5)] -> xpath: //a[@class='ico-register']]
2021-06-29 00:06:782 INFO  RegisterPage :66 - Entering  confirmed password : [[ChromeDriver: chrome on WINDOWS (e395d9bda3841e9c8926038d8bd031c5)] -> xpath: //input[@id='FirstName']] to first name  field : [[ChromeDriver: chrome on WINDOWS (e395d9bda3841e9c8926038d8bd031c5)] -> xpath: //input[@id='FirstName']]
2021-06-29 00:06:999 INFO  RegisterPage :73 - Enter  last name password : [[ChromeDriver: chrome on WINDOWS (e395d9bda3841e9c8926038d8bd031c5)] -> xpath: //input[@id='LastName']] to Last Name field : [[ChromeDriver: chrome on WINDOWS (e395d9bda3841e9c8926038d8bd031c5)] -> xpath: //input[@id='LastName']]
2021-06-29 00:06:283 INFO  LoginPage :38 - Entering email address : kelly.spencer@yahoo.com to email field : [[ChromeDriver: chrome on WINDOWS (e395d9bda3841e9c8926038d8bd031c5)] -> id: Email]
2021-06-29 00:06:34 INFO  LoginPage :44 - Entering password : abcd1234 to password field : [[ChromeDriver: chrome on WINDOWS (e395d9bda3841e9c8926038d8bd031c5)] -> id: Password]
2021-06-29 00:06:218 INFO  RegisterPage :53 - Entering  confirmed password : abcd1234 to confirmed password field : [[ChromeDriver: chrome on WINDOWS (e395d9bda3841e9c8926038d8bd031c5)] -> xpath: //input[@id='ConfirmPassword']]
2021-06-29 00:06:225 INFO  RegisterPage :47 - Click on register button : Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='register-button']'
2021-06-29 00:06:296 INFO  RegisterPage :79 - Enter  last name password : [[ChromeDriver: chrome on WINDOWS (e395d9bda3841e9c8926038d8bd031c5)] -> xpath: //div[contains(text(),'Your registration completed')]]
